Date,returns,vol,regime,price
2024-06-21,-0.001562130321101196,0.0826413077878824,Calm,5464.6201171875
2024-06-24,-0.003065171894990004,0.08286847182389025,Calm,5447.8701171875
2024-06-25,0.003933590015736899,0.0770671807318207,Calm,5469.2998046875
2024-06-26,0.0015724312002203256,0.07470925839511401,Calm,5477.89990234375
2024-06-27,0.0009073212238914774,0.07460044292037897,Calm,5482.8701171875
2024-06-28,-0.004083652583445674,0.07039103309952967,Calm,5460.47998046875
2024-07-01,0.0026755639309195,0.06460198539526461,Calm,5475.08984375
2024-07-02,0.006195317856513505,0.06278424201926577,Calm,5509.009765625
2024-07-03,0.005084444409779065,0.0635378572918613,Calm,5537.02001953125
2024-07-05,0.005448765178485582,0.06442300597171915,Calm,5567.18994140625
2024-07-08,0.0010166989647510949,0.054660535682301566,Calm,5572.85009765625
2024-07-09,0.0007410719362856977,0.054297843739293944,Calm,5576.97998046875
2024-07-10,0.010208065293514812,0.060078512771952766,Calm,5633.91015625
2024-07-11,-0.008763028841120457,0.07162552785264573,Calm,5584.5400390625
2024-07-12,0.0055170270744306915,0.0726491829539466,Calm,5615.35009765625
2024-07-15,0.0028262026252154904,0.0689016233159018,Calm,5631.22021484375
2024-07-16,0.006389375498743188,0.07068959033843238,Calm,5667.2001953125
2024-07-17,-0.013927543241993745,0.08953416817707245,Calm,5588.27001953125
2024-07-18,-0.007816403936922511,0.09185184857814363,Calm,5544.58984375
2024-07-19,-0.007140265531926926,0.09537907237887884,Calm,5505.0
2024-07-22,0.01079203564940956,0.10158646833482018,Calm,5564.41015625
2024-07-23,-0.001558102589770738,0.10158528567828269,Calm,5555.740234375
2024-07-24,-0.02314909375473495,0.13084289583299694,Normal,5427.1298828125
2024-07-25,-0.005142620237842288,0.13105193485733616,Normal,5399.22021484375
2024-07-26,0.011090468702846357,0.13703392976476325,Normal,5459.10009765625
2024-07-29,0.0008133101292933098,0.137025366869344,Normal,5463.5400390625
2024-07-30,-0.004960171878030217,0.1373770174787167,Normal,5436.43994140625
2024-07-31,0.0157933986591674,0.14791697531869907,Normal,5522.2998046875
2024-08-01,-0.013693502993456064,0.15410024048990204,Normal,5446.68017578125
2024-08-02,-0.018381860868696753,0.1644825297507421,Normal,5346.56005859375
2024-08-05,-0.02996879838863975,0.18921833511499128,Elevated,5186.330078125
2024-08-06,0.010354085880061037,0.19459111581573874,Elevated,5240.02978515625
2024-08-07,-0.007734647858502863,0.19483187829178336,Elevated,5199.5
2024-08-08,0.023042611519136447,0.21045671660023385,Elevated,5319.31005859375
2024-08-09,0.004671676849538509,0.2106841424336875,Elevated,5344.16015625
2024-08-12,4.303397765514916e-05,0.209067569678995,Elevated,5344.39013671875
2024-08-13,0.016847579753558328,0.21878962639756608,Elevated,5434.43017578125
2024-08-14,0.0038237284285767004,0.21778713123796048,Elevated,5455.2099609375
2024-08-15,0.016133247764330783,0.2214280231304743,Elevated,5543.22021484375
2024-08-16,0.001989779357261412,0.2198294850925169,Elevated,5554.25
2024-08-19,0.009722284736913167,0.22051941501527428,Elevated,5608.25
2024-08-20,-0.0019845553982971165,0.2177790973216585,Elevated,5597.1201171875
2024-08-21,0.004239676828782013,0.21805854458643012,Elevated,5620.85009765625
2024-08-22,-0.008932805548120926,0.2035938087605176,Elevated,5570.64013671875
